English,EnumCode,Key,Simplified Chinese
Authentication failed: no access to the target page,AUTHENTICATION_FAILED:_NO_ACCESS,java.authenticationFailed:NoAccess,鉴权失败：无权访问目标页面
Collation is not legal,COLLATION_IS_NOT_LEGAL,java.collationIsNotLegal,排序规则不合法
Error,ERROR,java.error,信息错误
The sum must be,THE_SUM_MUST_BE,java.theSumMustBe,之和必须为
The number of triggers can not be less than,THE_NUMBER_OF_TRIGGERS_CAN_NOT_BE,java.theNumberOfTriggersCanNotBe,触发次数不能小于
The time interval must be greater than 0 and not less than,THE_TIME_INTERVAL_MUST_BE_GREATER,java.theTimeIntervalMustBeGreater,时间间隔必须大于0，并且不小于
Successfully modified,SUCCESSFULLY_MODIFIED,java.successfullyModified,修改成功
User does not exist,USER_DOES_NOT_EXIST,java.userDoesNotExist,用户不存在
Incorrect password,INCORRECT_PASSWORD,java.incorrectPassword,密码不正确
The service name of the source is empty,THE_SERVICE_NAME_OF_THE_SOURCE_IS,java.theServiceNameOfTheSourceIs,来源的服务名为空
Group by default,GROUP_BY_DEFAULT,java.groupByDefault,默认分组
please sign in,PLEASE_SIGN_IN,java.pleaseSignIn,请登录
You do not have permission,YOU_DO_NOT_HAVE_PERMISSION,java.youDoNotHavePermission,您没有权限
Cluster resource configuration parameter can not be empty,CLUSTER_RESOURCE_CONFIGURATION,java.clusterResourceConfiguration,集群资源配置参数不能为空
Unsupported extractor type,UNSUPPORTED_EXTRACTOR_TYPE,java.unsupportedExtractorType,不支持的extractor类型
shut down,SHUT_DOWN,java.shutDown,关闭
Clean up successfully,CLEAN_UP_SUCCESSFULLY,java.cleanUpSuccessfully,清理成功
Public cluster,PUBLIC_CLUSTER,java.publicCluster,公有集群
Private cluster,PRIVATE_CLUSTER,java.privateCluster,私有集群
Distribute the cluster,DISTRIBUTE_THE_CLUSTER,java.distributeTheCluster,分发集群
The above version you can use the console to view jstack features,THE_ABOVE_VERSION_YOU_CAN_USE_THE,java.TheAboveVersionYouCanUseThe,以上版本，才能使用控制台查看jstack的功能
"Ready you can now click \ ""Done \"" to finish configuring the service",READY_YOU_CAN_NOW_CLICK_\_DONE,java.ReadyYouCanNowClick\Done,"准备就绪，您现在可以点击\""完成\""以执行完服务的配置步骤"
The revised configuration item can not be empty,THE_REVISED_CONFIGURATION_ITEM,java.theRevisedConfigurationItem,订正配置项不能为空
Parameter can not be empty,PARAMETER_CAN_NOT_BE_EMPTY,java.parameterCanNotBeEmpty,参数不能为空
Unsupported revision configuration items,UNSUPPORTED_REVISION,java.unsupportedRevision,不支持的订正配置项
Source table name can not be empty,SOURCE_TABLE_NAME_CAN_NOT_BE_EMPTY,java.sourceTableNameCanNotBeEmpty,源表名不能为空
Condition column can not be empty,CONDITION_COLUMN_CAN_NOT_BE_EMPTY,java.conditionColumnCanNotBeEmpty,条件列不能为空
Condition value can not be empty,CONDITION_VALUE_CAN_NOT_BE_EMPTY,java.conditionValueCanNotBeEmpty,条件值不能为空
Full verification service does not exist,FULL_VERIFICATION_SERVICE_DOES,java.fullVerificationServiceDoes,全量校验服务不存在
Please operate on the source service,PLEASE_OPERATE_ON_THE_SOURCE,java.pleaseOperateOnTheSource,请在来源服务上操作
Total Revision Services does not support this service type,TOTAL_REVISION_SERVICES_DOES_NOT,java.totalRevisionServicesDoesNot,全量订正服务不支持该服务类型
Gets applierVO is empty,GETS_APPLIERVO_IS_EMPTY,java.getsApplierVOIsEmpty,获取到applierVO为空
Revised way can not be empty,REVISED_WAY_CAN_NOT_BE_EMPTY,java.revisedWayCanNotBeEmpty,订正方式不能为空
Please login,PLEASE_LOGIN,java.pleaseLogin,请登陆
User has no admin permission,USER_HAS_NO_ADMIN_PERMISSION,java.userHasNoAdminPermission,用户无admin权限
Delete zk node {1} succeeded,DELETE_ZK_NODE_{1}_SUCCEEDED,java.deleteZkNode{1}Succeeded,删除zk节点{1}成功
Failed to delete zk node {1},FAILED_TO_DELETE_ZK_NODE_{1},java.failedToDeleteZkNode{1},删除zk节点{1}失败
Username can not be empty,USERNAME_CAN_NOT_BE_EMPTY,java.usernameCanNotBeEmpty,用户名不能为空
Contact can not be empty at least there should be a contact,CONTACT_CAN_NOT_BE_EMPTY_AT_LEAST,java.ContactCanNotBeEmptyAtLeast,联系人不能为空，至少应该有一个联系人
Application name can not be empty,APPLICATION_NAME_CAN_NOT_BE_EMPTY,java.applicationNameCanNotBeEmpty,应用名不能为空
Can not find the corresponding application name,CAN_NOT_FIND_THE_CORRESPONDING,java.canNotFindTheCorresponding,找不到对应的应用名
Can not be empty please check whether the browser is allowed to write,CAN_NOT_BE_EMPTY_PLEASE_CHECK,java.CanNotBeEmptyPleaseCheck,不能为空，请检查游览器是否允许写
Expired can not be submitted repeatedly please refresh the page and try again,EXPIRED_CAN_NOT_BE_SUBMITTED,java.ExpiredCanNotBeSubmitted,已过期，不能重复提交，请刷新页面后重试
Can not find the corresponding write target configuration table,CAN_NOT_FIND_THE_CORRESPONDING,java.canNotFindTheCorresponding,找不到表对应的写目标的配置
Update tableChannelDO failed,UPDATE_TABLECHANNELDO_FAILED,java.updateTableChannelDOFailed,更新tableChannelDO失败
And serviceId can not be null at the same time,AND_SERVICEID_CAN_NOT_BE_NULL_AT_THE,java.andServiceIdCanNotBeNullAtThe,和serviceId不能同时为空
And serviceId can not have value at the same time,AND_SERVICEID_CAN_NOT_HAVE_VALUE_AT,java.andServiceIdCanNotHaveValueAt,和serviceId不能同时有值
Mission does not exist,MISSION_DOES_NOT_EXIST,java.missionDoesNotExist,任务不存在
There is no task under the service,THERE_IS_NO_TASK_UNDER_THE_SERVICE,java.thereIsNoTaskUnderTheService,服务下不存在任务
User is not logged in,USER_IS_NOT_LOGGED_IN,java.userIsNotLoggedIn,用户未登录
Update environment failed,UPDATE_ENVIRONMENT_FAILED,java.updateEnvironmentFailed,更新环境失败
Update the environment,UPDATE_THE_ENVIRONMENT,java.updateTheEnvironment,更新环境
Update the environment successfully,UPDATE_THE_ENVIRONMENT,java.updateTheEnvironment,更新环境成功
Environment not found,ENVIRONMENT_NOT_FOUND,java.environmentNotFound,环境未找到
User already exists,USER_ALREADY_EXISTS,java.userAlreadyExists,用户已存在
add failed,ADD_FAILED,java.addFailed,添加失败
Added successfully,ADDED_SUCCESSFULLY,java.addedSuccessfully,添加成功
fail to edit,FAIL_TO_EDIT,java.failToEdit,修改失败
failed to delete,FAILED_TO_DELETE,java.failedToDelete,删除失败
The name of the user has been authorized without duplication of authority,THE_NAME_OF_THE_USER_HAS_BEEN,java.theNameOfTheUserHasBeen,该name的用户已经被授权，无需重复授权
The authorized target user does not exist,THE_AUTHORIZED_TARGET_USER_DOES,java.theAuthorizedTargetUserDoes,授权的目标用户不存在
The authorized aone application does not exist,THE_AUTHORIZED_AONE_APPLICATION,java.theAuthorizedAoneApplication,授权的aone应用不存在
Authorized success,AUTHORIZED_SUCCESS,java.authorizedSuccess,授权成功
User not found,USER_NOT_FOUND,java.userNotFound,用户未找到
Delete user failed,DELETE_USER_FAILED,java.deleteUserFailed,删除用户失败
Set attendant failed,SET_ATTENDANT_FAILED,java.setAttendantFailed,设置值班员失败
Incoming,INCOMING,java.incoming,传入
Cancel the shift attendant failed,CANCEL_THE_SHIFT_ATTENDANT_FAILED,java.cancelTheShiftAttendantFailed,取消值班员失败
On-duty staff can not be empty,ON-DUTY_STAFF_CAN_NOT_BE_EMPTY,java.on-dutyStaffCanNotBeEmpty,值班人员不可为空
The type you entered is not valid,THE_TYPE_YOU_ENTERED_IS_NOT_VALID,java.theTypeYouEnteredIsNotValid,您输入的type不合法
Failed to add the owner of the cluster,FAILED_TO_ADD_THE_OWNER_OF_THE,java.failedToAddTheOwnerOfThe,集群添加所属人失败
Cluster node not found,CLUSTER_NODE_NOT_FOUND,java.clusterNodeNotFound,集群节点未找到
You can not delete this cluster have services or tasks attached to this cluster,YOU_CAN_NOT_DELETE_THIS_CLUSTER,java.YouCanNotDeleteThisCluster,不能删除此集群，有服务或任务挂载到该集群下
Worker deletion from zk failed,WORKER_DELETION_FROM_ZK_FAILED,java.workerDeletionFromZkFailed,从zk上删除worker失败
Node name is empty,NODE_NAME_IS_EMPTY,java.nodeNameIsEmpty,节点名称为空
Synchronization from armory failed,SYNCHRONIZATION_FROM_ARMORY,java.synchronizationFromArmory,从armory同步失败
Task deletion from zk failed,TASK_DELETION_FROM_ZK_FAILED,java.taskDeletionFromZkFailed,从zk删除任务失败
Domain name can not be empty,DOMAIN_NAME_CAN_NOT_BE_EMPTY,java.domainNameCanNotBeEmpty,域名不可为空
Cluster list is empty,CLUSTER_LIST_IS_EMPTY,java.clusterListIsEmpty,集群列表为空
Set the scheduling mode of the cluster first,SET_THE_SCHEDULING_MODE_OF_THE,java.setTheSchedulingModeOfThe,请先设置集群的调度方式为
Please try again in a minute,PLEASE_TRY_AGAIN_IN_A_MINUTE,java.pleaseTryAgainInAMinute,请一分钟后再尝试使用
average,AVERAGE,java.average,平均
Being average please check the results later,BEING_AVERAGE_PLEASE_CHECK_THE,java.BeingAveragePleaseCheckThe,正在平均中，请稍候查看结果
Successfully cleared the task list,SUCCESSFULLY_CLEARED_THE_TASK,java.successfullyClearedTheTask,成功清理任务列表
Environment env is empty,ENVIRONMENT_ENV_IS_EMPTY,java.environmentEnvIsEmpty,环境env为空
Migration task type must be,MIGRATION_TASK_TYPE_MUST_BE,java.migrationTaskTypeMustBe,迁移任务类型必须是
Source or target zkHosts is empty,SOURCE_OR_TARGET_ZKHOSTS_IS_EMPTY,java.sourceOrTargetZkHostsIsEmpty,源或者目标zkHosts为空
Pulled from the diamond to all zkHosts is empty,PULLED_FROM_THE_DIAMOND_TO_ALL,java.pulledFromTheDiamondToAll,从diamond拉取到所有的zkHosts为空
Does not contain the source or target,DOES_NOT_CONTAIN_THE_SOURCE_OR,java.doesNotContainTheSourceOr,不包含源或者目标
The source clusterName for the migration is empty,THE_SOURCE_CLUSTERNAME_FOR_THE,java.theSourceClusterNameForThe,迁移的源clusterName为空
The target clusterName for the migration is empty,THE_TARGET_CLUSTERNAME_FOR_THE,java.theTargetClusterNameForThe,迁移的目标clusterName为空
The source cluster does not exist,THE_SOURCE_CLUSTER_DOES_NOT_EXIST,java.theSourceClusterDoesNotExist,源cluster不存在
The target cluster does not exist,THE_TARGET_CLUSTER_DOES_NOT_EXIST,java.theTargetClusterDoesNotExist,目标cluster不存在
Migration service does not exist,MIGRATION_SERVICE_DOES_NOT_EXIST,java.migrationServiceDoesNotExist,迁移的服务不存在
Some services specified migration does not exist in the DB,SOME_SERVICES_SPECIFIED,java.someServicesSpecified,指定迁移的服务有些在DB不存在
Failed to get source ZKManager,FAILED_TO_GET_SOURCE_ZKMANAGER,java.failedToGetSourceZKManager,获取源ZKManager失败
Failed to get target ZKManager,FAILED_TO_GET_TARGET_ZKMANAGER,java.failedToGetTargetZKManager,获取目标ZKManager失败
The same zk and cluster clusters do not need to be migrated,THE_SAME_ZK_AND_CLUSTER_CLUSTERS_DO,java.theSameZkAndClusterClustersDo,相同的zk和cluster集群，不需要迁移
Service data failed,SERVICE_DATA_FAILED,java.serviceDataFailed,服务数据失败
Stop and migrate the service,STOP_AND_MIGRATE_THE_SERVICE,java.stopAndMigrateTheService,停止并迁移服务
Start the service in the target cluster,START_THE_SERVICE_IN_THE_TARGET,java.startTheServiceInTheTarget,在目标集群启动服务
Migration successful,MIGRATION_SUCCESSFUL,java.migrationSuccessful,迁移成功
Synchronize,SYNCHRONIZE,java.synchronize,同步
Failed to target db,FAILED_TO_TARGET_DB,java.failedToTargetDb,到目标db失败
No corresponding task,NO_CORRESPONDING_TASK,java.noCorrespondingTask,没有对应的任务
In the DB does not exist,IN_THE_DB_DOES_NOT_EXIST,java.inTheDBDoesNotExist,在DB不存在
Node does not exist,NODE_DOES_NOT_EXIST,java.nodeDoesNotExist,节点不存在
Data failed,DATA_FAILED,java.dataFailed,数据失败
Some tasks specified in the migration does not exist in the DB,SOME_TASKS_SPECIFIED_IN_THE,java.someTasksSpecifiedInThe,指定迁移的任务有些在DB不存在
Start the task in the target cluster,START_THE_TASK_IN_THE_TARGET,java.startTheTaskInTheTarget,在目标集群启动任务
Mission data failed,MISSION_DATA_FAILED,java.missionDataFailed,任务数据失败
Start the mission in a new environment,START_THE_MISSION_IN_A_NEW,java.startTheMissionInANew,在新环境启动任务
Delete the source,DELETE_THE_SOURCE,java.deleteTheSource,删除源端
The clusterName query is empty,THE_CLUSTERNAME_QUERY_IS_EMPTY,java.theClusterNameQueryIsEmpty,查询的clusterName为空
Migration task type must be service or,MIGRATION_TASK_TYPE_MUST_BE,java.migrationTaskTypeMustBe,迁移任务类型必须是service或者
Not included,NOT_INCLUDED,java.notIncluded,不包含
The corresponding zkManager is empty,THE_CORRESPONDING_ZKMANAGER_IS,java.theCorrespondingZkManagerIs,对应的zkManager为空
Failed to find out the seal information please try again,FAILED_TO_FIND_OUT_THE_SEAL,java.FailedToFindOutTheSeal,查询封网信息失败，请重试
Have been sealed network settings please lifted and then set again,HAVE_BEEN_SEALED_NETWORK,java.HaveBeenSealedNetwork,已有封网设置，请解禁后再重新设置
Invalid parameter please reset,INVALID_PARAMETER_PLEASE_RESET,java.InvalidParameterPleaseReset,无效参数，请重新设置
Time format error,TIME_FORMAT_ERROR,java.timeFormatError,时间格式错误
Exceeds the maximum seal cycle of 180 days please reset,EXCEEDS_THE_MAXIMUM_SEAL_CYCLE_OF,java.ExceedsTheMaximumSealCycleOf,超过最大封网周期180天，请重新设置
Failed to set the cap please try again,FAILED_TO_SET_THE_CAP_PLEASE_TRY,java.FailedToSetTheCapPleaseTry,设置封网失败，请重试
Sealing success,SEALING_SUCCESS,java.sealingSuccess,封网成功
Not yet sealed no lifting of the ban,NOT_YET_SEALED_NO_LIFTING_OF_THE,java.NotYetSealedNoLiftingOfThe,尚未封网，无需解禁
Lifted ban failed please try again,LIFTED_BAN_FAILED_PLEASE_TRY,java.LiftedBanFailedPleaseTry,解禁失败，请重试
Lifted ban successful,LIFTED_BAN_SUCCESSFUL,java.liftedBanSuccessful,解禁成功
Request parameter is empty,REQUEST_PARAMETER_IS_EMPTY,java.requestParameterIsEmpty,请求参数为空
Time format is wrong,TIME_FORMAT_IS_WRONG,java.timeFormatIsWrong,时间格式不对
White list up to a week,WHITE_LIST_UP_TO_A_WEEK,java.whiteListUpToAWeek,白名单最长一周
user,USER,java.user,用户
Already in the whitelist,ALREADY_IN_THE_WHITELIST,java.alreadyInTheWhitelist,已在白名单
Parameter format error,PARAMETER_FORMAT_ERROR,java.parameterFormatError,参数格式错误
Task name list is empty,TASK_NAME_LIST_IS_EMPTY,java.taskNameListIsEmpty,任务名称列表为空
User does not exist or not,USER_DOES_NOT_EXIST_OR_NOT,java.userDoesNotExistOrNot,用户不存在或非
Has been attributed,HAS_BEEN_ATTRIBUTED,java.hasBeenAttributed,已归属
Unable to bind multiple people,UNABLE_TO_BIND_MULTIPLE_PEOPLE,java.unableToBindMultiplePeople,无法绑定多人
Parameter error,PARAMETER_ERROR,java.parameterError,参数错误
successfully deleted,SUCCESSFULLY_DELETED,java.successfullyDeleted,删除成功
Parameter is empty,PARAMETER_IS_EMPTY,java.parameterIsEmpty,参数为空
Replacement successful,REPLACEMENT_SUCCESSFUL,java.replacementSuccessful,更换成功
The same cluster cluster do not need to migrate,THE_SAME_CLUSTER_CLUSTER_DO_NOT,java.TheSameClusterClusterDoNot,相同的cluster集群，不需要迁移
Stop the source task,STOP_THE_SOURCE_TASK,java.stopTheSourceTask,停止源端任务
Missions,MISSIONS,java.missions,任务非
Full migration service,FULL_MIGRATION_SERVICE,java.fullMigrationService,全量迁移服务
Full verification service,FULL_VERIFICATION_SERVICE,java.fullVerificationService,全量校验服务
Full revised service,FULL_REVISED_SERVICE,java.fullRevisedService,全量订正服务
Full preheating service,FULL_PREHEATING_SERVICE,java.fullPreheatingService,全量预热服务
Full custom consumer services,FULL_CUSTOM_CONSUMER_SERVICES,java.fullCustomConsumerServices,全量自定义消费服务
Migration options can not be all empty,MIGRATION_OPTIONS_CAN_NOT_BE_ALL,java.migrationOptionsCanNotBeAll,迁移选项不能全部传空
Migration options can not be all empty,MIGRATION_OPTIONS_CAN_NOT_BE_ALL,java.migrationOptionsCanNotBeAll,迁移选项不能全部为空
Source library information can not be empty,SOURCE_LIBRARY_INFORMATION_CAN,java.sourceLibraryInformationCan,源库信息不能为空
Target library information can not be empty,TARGET_LIBRARY_INFORMATION_CAN,java.targetLibraryInformationCan,目标库信息不能为空
The description can not be empty,THE_DESCRIPTION_CAN_NOT_BE_EMPTY,java.theDescriptionCanNotBeEmpty,描述信息不能为空
According to serviceId can not find service,ACCORDING_TO_SERVICEID_CAN_NOT,java.accordingToServiceIdCanNot,根据serviceId找不到服务
Query oracle source library failed,QUERY_ORACLE_SOURCE_LIBRARY,java.queryOracleSourceLibrary,查询oracle源库失败
Service update failed,SERVICE_UPDATE_FAILED,java.serviceUpdateFailed,服务更新失败
The number of tasks can not be,THE_NUMBER_OF_TASKS_CAN_NOT_BE,java.theNumberOfTasksCanNotBe,任务数不能为
Option can not be empty,OPTION_CAN_NOT_BE_EMPTY,java.optionCanNotBeEmpty,选项不能为空
Must be greater than,MUST_BE_GREATER_THAN,java.mustBeGreaterThan,必须大于
Service has been deleted,SERVICE_HAS_BEEN_DELETED,java.serviceHasBeenDeleted,服务已经被删除
Update serviceDO failed,UPDATE_SERVICEDO_FAILED,java.updateServiceDOFailed,更新serviceDO失败
A task is running please try again later,A_TASK_IS_RUNNING_PLEASE_TRY_AGAIN,java.ATaskIsRunningPleaseTryAgain,有任务正在运行，请稍后重试
A key to open the alarm,A_KEY_TO_OPEN_THE_ALARM,java.aKeyToOpenTheAlarm,一键开启报警
A key to close the alarm,A_KEY_TO_CLOSE_THE_ALARM,java.aKeyToCloseTheAlarm,一键关闭报警
A task is running please try again later,A_TASK_IS_RUNNING_PLEASE_TRY_AGAIN,java.ATaskIsRunningPleaseTryAgain,有任务正在运行中，请稍后重试
A key to open,A_KEY_TO_OPEN,java.aKeyToOpen,一键开启
A key to close,A_KEY_TO_CLOSE,java.aKeyToClose,一键关闭
A key to open the dynamic scheduling,A_KEY_TO_OPEN_THE_DYNAMIC,java.aKeyToOpenTheDynamic,一键开启动态调度
One-click off dynamic scheduling,ONE-CLICK_OFF_DYNAMIC_SCHEDULING,java.one-clickOffDynamicScheduling,一键关闭动态调度
execution succeed,EXECUTION_SUCCEED,java.executionSucceed,执行成功
Mission mode is not set,MISSION_MODE_IS_NOT_SET,java.missionModeIsNotSet,任务模式未设置
update completed,UPDATE_COMPLETED,java.updateCompleted,更新成功
Created successfully,CREATED_SUCCESSFULLY,java.createdSuccessfully,创建成功
This node was not found,THIS_NODE_WAS_NOT_FOUND,java.thisNodeWasNotFound,未找到该节点
No service found,NO_SERVICE_FOUND,java.noServiceFound,未找到服务
In order to reduce the pressure of the Jingwei cluster it is forbidden to run the full task and your task during the big promotion period,IN_ORDER_TO_REDUCE_THE_PRESSURE_OF,java.InOrderToReduceThePressureOf,为降低精卫集群压力，大促期间禁止运行全量任务，你的任务
Will be stopped after the introduction of a big promotion please open again thank you for your cooperation,WILL_BE_STOPPED_AFTER_THE,java.WillBeStoppedAfterThe,将被停止，大促介绍后请再开启，谢谢配合
Service stopped successfully,SERVICE_STOPPED_SUCCESSFULLY,java.serviceStoppedSuccessfully,服务成功停止
Review configuration items can not be empty,REVIEW_CONFIGURATION_ITEMS_CAN,java.reviewConfigurationItemsCan,复查配置项不能为空
Unsupported review configuration item,UNSUPPORTED_REVIEW,java.unsupportedReview,不支持的复查配置项
Full volume correction service does not exist,FULL_VOLUME_CORRECTION_SERVICE,java.fullVolumeCorrectionService,全量订正服务不存在
Review method can not be empty,REVIEW_METHOD_CAN_NOT_BE_EMPTY,java.reviewMethodCanNotBeEmpty,复查方式不能为空
Service name created can not be empty,SERVICE_NAME_CREATED_CAN_NOT_BE,java.serviceNameCreatedCanNotBe,创建的服务名不可为空
The selected table can not be empty,THE_SELECTED_TABLE_CAN_NOT_BE_EMPTY,java.theSelectedTableCanNotBeEmpty,已选择的表不可为空
The number of tasks can not be matched,THE_NUMBER_OF_TASKS_CAN_NOT_BE,java.theNumberOfTasksCanNotBe,任务数量匹配方式不可为空
The scan start time you entered,THE_SCAN_START_TIME_YOU_ENTERED,java.theScanStartTimeYouEntered,您输入的扫描起始时间
Illegal please enter the correct time. Format as,ILLEGAL_PLEASE_ENTER_THE_CORRECT,java.IllegalPleaseEnterTheCorrect,不合法，请输入正确的时间。格式如
Full Migration Service does not support this service type,FULL_MIGRATION_SERVICE_DOES_NOT,java.fullMigrationServiceDoesNot,全量迁移服务不支持该服务类型
Obtain sourceConfigVO is empty,OBTAIN_SOURCECONFIGVO_IS_EMPTY,java.obtainSourceConfigVOIsEmpty,获取到sourceConfigVO为空
It is not supported to create a full verification service based on this type of service,IT_IS_NOT_SUPPORTED_TO_CREATE_A_FULL,java.itIsNotSupportedToCreateAFull,不支持在此类型服务的基础上创建全量校验服务
Directly connected to the DRC self-service consumer services to create a full range of custom services,DIRECTLY_CONNECTED_TO_THE_DRC,java.directlyConnectedToTheDRC,直连DRC自主消费服务才能创建全量自定义服务
Custom full service type can not be empty,CUSTOM_FULL_SERVICE_TYPE_CAN_NOT_BE,java.customFullServiceTypeCanNotBe,自定义全量服务类型不可为空
Unsupported custom full service type,UNSUPPORTED_CUSTOM_FULL_SERVICE,java.unsupportedCustomFullService,不支持的自定义全量服务类型
Correct log download address can not be empty,CORRECT_LOG_DOWNLOAD_ADDRESS_CAN,java.correctLogDownloadAddressCan,订正日志下载地址不可为空
The number of matching tasks can not be empty,THE_NUMBER_OF_MATCHING_TASKS_CAN,java.theNumberOfMatchingTasksCan,任务数量匹配方式不能为空
Custom full volume correction service support only? Create a task,CUSTOM_FULL_VOLUME_CORRECTION,java.customFullVolumeCorrection,自定义全量订正服务支持只?创建一个任务
Failure cache service can create a full preheat service,FAILURE_CACHE_SERVICE_CAN_CREATE_A,java.failureCacheServiceCanCreateA,失效缓存服务才可以创建全量预热服务
Service does not exist or has been deleted,SERVICE_DOES_NOT_EXIST_OR_HAS_BEEN,java.serviceDoesNotExistOrHasBeen,服务不存在或者已被删除
Unsupported full custom service type,UNSUPPORTED_FULL_CUSTOM_SERVICE,java.unsupportedFullCustomService,不支持的全量自定义服务类型
Database connection failed,DATABASE_CONNECTION_FAILED,java.databaseConnectionFailed,数据库连接失败
Link type can not be empty,LINK_TYPE_CAN_NOT_BE_EMPTY,java.linkTypeCanNotBeEmpty,链路类型不能为空
Return code is empty,RETURN_CODE_IS_EMPTY,java.returnCodeIsEmpty,返回码为空
The target appName can not be empty,THE_TARGET_APPNAME_CAN_NOT_BE_EMPTY,java.theTargetAppNameCanNotBeEmpty,目标appName不能为空
Unable to subscribe to 'DELETE' event when target library is Histore remove 'DELETE' event subscription or try 'DELETE' event after converting to 'INSERT' event,UNABLE_TO_SUBSCRIBE_TO_DELETE,java.UnableToSubscribeToDELETE,目标库为Histore时无法订阅'DELETE'事件，请移除'DELETE'事件订阅或者将'DELETE'事件转换成'INSERT'事件后重试
The target Histore version is too low to subscribe to the 'UPDATE' event,THE_TARGET_HISTORE_VERSION_IS_TOO,java.theTargetHistoreVersionIsToo,目标Histore版本过低，无法订阅'UPDATE'事件
Please cancel the 'UPDATE' event subscription or use the action conversion function 'UPDATE' into 'INSERT' and try again,PLEASE_CANCEL_THE_UPDATE_EVENT,java.pleaseCancelTheUPDATEEvent,请取消'UPDATE'事件订阅或者使用action转换功能将'UPDATE'转成'INSERT'后重试
Asynchronous task start failed,ASYNCHRONOUS_TASK_START_FAILED,java.asynchronousTaskStartFailed,异步任务启动失败
Filter code can not be empty,FILTER_CODE_CAN_NOT_BE_EMPTY,java.filterCodeCanNotBeEmpty,过滤代码不可为空
The task is empty and may be deleted,THE_TASK_IS_EMPTY_AND_MAY_BE_DELETED,java.theTaskIsEmptyAndMayBeDeleted,任务为空，可能被删除
The passed parameter tairConfigArray is incorrect,THE_PASSED_PARAMETER,java.thePassedParameter,传入的参数tairConfigArray有误
Can not be empty and it is number,CAN_NOT_BE_EMPTY_AND_IT_IS_NUMBER,java.CanNotBeEmptyAndItIsNumber,不能为空，并且是数字
And username can not be empty at the same time,AND_USERNAME_CAN_NOT_BE_EMPTY_AT_THE,java.andUsernameCanNotBeEmptyAtThe,和username不能同时为空
Non-private cloud environment no such function,NON-PRIVATE_CLOUD_ENVIRONMENT,java.Non-privateCloudEnvironment,非私有云环境，无此功能
Container template not found,CONTAINER_TEMPLATE_NOT_FOUND,java.containerTemplateNotFound,容器模板未找到
Failed to delete container template,FAILED_TO_DELETE_CONTAINER,java.failedToDeleteContainer,删除容器模板失败
This template name already exists,THIS_TEMPLATE_NAME_ALREADY_EXISTS,java.thisTemplateNameAlreadyExists,该模板名称已存在
New container template failed,NEW_CONTAINER_TEMPLATE_FAILED,java.newContainerTemplateFailed,新建容器模板失败
Failed to update container template,FAILED_TO_UPDATE_CONTAINER,java.failedToUpdateContainer,更新容器模板失败
Successful operation,SUCCESSFUL_OPERATION,java.successfulOperation,操作成功
Group name can not be empty,GROUP_NAME_CAN_NOT_BE_EMPTY,java.groupNameCanNotBeEmpty,分组名称不能为空
Group name can only be composed of numbers and letters,GROUP_NAME_CAN_ONLY_BE_COMPOSED_OF,java.groupNameCanOnlyBeComposedOf,分组名称只能由数字和字母组成
This name is not available,THIS_NAME_IS_NOT_AVAILABLE,java.thisNameIsNotAvailable,该名字不可用
New container group failed,NEW_CONTAINER_GROUP_FAILED,java.newContainerGroupFailed,新建容器分组失败
Failed to update container grouping,FAILED_TO_UPDATE_CONTAINER,java.failedToUpdateContainer,更新容器分组失败
Container group not found,CONTAINER_GROUP_NOT_FOUND,java.containerGroupNotFound,容器分组未找到
Failed to delete container group,FAILED_TO_DELETE_CONTAINER_GROUP,java.failedToDeleteContainerGroup,删除容器分组失败
Group name is empty,GROUP_NAME_IS_EMPTY,java.groupNameIsEmpty,分组名称为空
Can not find the container group,CAN_NOT_FIND_THE_CONTAINER_GROUP,java.canNotFindTheContainerGroup,查不到容器分组
The selected template can not be found,THE_SELECTED_TEMPLATE_CAN_NOT_BE,java.theSelectedTemplateCanNotBe,查不到所选模板
Exceeds system capacity limit,EXCEEDS_SYSTEM_CAPACITY_LIMIT,java.exceedsSystemCapacityLimit,超过系统容量限制
No template found,NO_TEMPLATE_FOUND,java.noTemplateFound,未找到模板
Update capacity setting failed,UPDATE_CAPACITY_SETTING_FAILED,java.updateCapacitySettingFailed,更新容量设置失败
The update capacity is set successfully,THE_UPDATE_CAPACITY_IS_SET,java.theUpdateCapacityIsSet,更新容量设置成功
Query stat indicator failed,QUERY_STAT_INDICATOR_FAILED,java.queryStatIndicatorFailed,查询stat指标失败
error,ERROR,java.error,错误
The corresponding service has been deleted,THE_CORRESPONDING_SERVICE_HAS,java.theCorrespondingServiceHas,对应的服务已被删除
Incoming tar file can not be empty or your file has exceeded 200m the maximum supported size is,INCOMING_TAR_FILE_CAN_NOT_BE_EMPTY,java.IncomingTarFileCanNotBeEmpty,传入的tar文件不能为空，或者您的文件已经超过了200m，最大支持的大小为
System error please try again later,SYSTEM_ERROR_PLEASE_TRY_AGAIN,java.SystemErrorPleaseTryAgain,系统出错，请稍后再试
The uploaded tar package does not support more than 100m. If you can not reduce the package size it is recommended to integrate the jingwei-client,THE_UPLOADED_TAR_PACKAGE_DOES_NOT,java.TheUploadedTarPackageDoesNot,上传的tar包不支持超过100m，如果不能减小包的大小，建议走集成jingwei-client的方式
Upload successfully,UPLOAD_SUCCESSFULLY,java.uploadSuccessfully,上传成功
Package not found,PACKAGE_NOT_FOUND,java.packageNotFound,包未找到
